"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"93536","Lancaster","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172.5,2100,2100,2125,2072.5,2095,2289,2225,2200,2200,2200,2175,2200,2185
"60615","Chicago","IL","Chicago-Naperville-Elgin","Cook County",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2334,2395,2494.5,2500,2475,2590,2500,2257.5,2445,2445,2445,2445,2445,2445,2445,2445
"89123","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1600,1635,1617.5,1650,1650,1675,1625,1768,1685,1700,1700,1700,1700,1700,1695,1749,1685,1850,1850,1782.5,1812.5,1795,1760,1747.5,1775,1850,1930
"30253","McDonough","GA","Atlanta-Sandy Springs-Roswell","Henry County",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,1400,1409.5,1400,1395,1450,1460,1495,1460,1445,1445,1445,1420,1425,1450,1475,1525,1550,1582.5,1565,1582.5,1595,1615,1581,1500,1500,1545,1602.5
"75002","Allen","TX","Dallas-Fort Worth-Arlington","Collin County",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1900,1950,1995,2000,2011.5,2000,2000,2025,1975,1950,1960,1950,1950,2000,2062.5,1995,1995,1995,2022.5,2015,1997.5,1995,2075,2062.5,2050,2022.5,2050
"33467","Greenacres","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2500,2650,2572.5,2500,2460,2500,2500,2500,2500
"33157","Village of Palmetto Bay","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2999.5,2999,2750.5,2984.5,3100,2600,2817.5,3095,3190,2975,3000,3200,3000,2970,2995,2650,3000,3000,2795,2997.5,2580,2739,2750,2800,3050
"78254","San Antonio","TX","San Antonio-New Braunfels","Bexar County",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.5,1650,1695,1650,1650,1612.5,1597.5,1650,1725,1650,1600,1575,1622.5,1595,1600,1650,1695,1650,1650,1625,1672.5,1697.5,1825,1700,1700,1637.5,1597.5,1672.5
"94513","Brentwood","CA","San Francisco-Oakland-Hayward","Contra Costa County",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2400,2495,2500,2497.5,2450,2400,2400,2375,2400,2400,2400,2550,2695,2625,2600,2600,2695,2650,2580,2597.5,2500,2500,2595,2795,2725,2725,2738.5,2700,2600,2697.5,2700,2695,2700,2786,2715,2850
"33511","Brandon","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1649.5,1650,1637.5,1630,1650,1650,1629.5,1595,1550,1550,1650,1685,1690,1705,1725,1700,1705,1710,1700,1700,1695,1697.5,1650,1605,1600,1695,1695
